ticker,max_drawdown,num_drawdowns,gics_industry_group
COTY,-77.3,1,Household & Personal Products
COUR,-71.64,2,Consumer Services
CPAY,-34.54,7,Financial Services
CPB,-49.74,4,"Food, Beverage & Tobacco"
CPE,-12.78,1,Energy
CPF,-26.51,8,Banks
CPK,-14.39,7,Utilities
CPNG,-49.93,7,Consumer Discretionary Distribution & Retail
CPRI,-75.54,7,Consumer Durables & Apparel
CPRT,-40.84,6,Commercial & Professional Services
CPRX,-27.29,11,"Pharmaceuticals, Biotechnology & Life Sciences"
CPS,-41.87,5,Automobiles & Components
CPT,-23.18,3,Equity Real Estate Investment Trusts (REITs)
CR,-28.21,6,Capital Goods
CRAI,-23.93,12,Commercial & Professional Services
CRBU,-91.12,9,"Pharmaceuticals, Biotechnology & Life Sciences"
CRC,-45.63,7,Energy
CRCT,-45.65,5,Consumer Durables & Apparel
CRDO,-61.05,13,Semiconductors & Semiconductor Equipment
CRGY,-56.45,12,Energy
CRI,-73.1,5,Consumer Durables & Apparel
CRK,-51.11,11,Energy
CRL,-63.52,7,"Pharmaceuticals, Biotechnology & Life Sciences"
CRM,-48.36,4,Software & Services
CRMD,-59.06,6,"Pharmaceuticals, Biotechnology & Life Sciences"
